region_id,mean_population_exposed,mean_risk_score,p90_risk_score,cones_count
R_8_31,1879852.5967648167,75.36200504781,76.5271317690536,19
R_9_26,1220146.4072994033,74.64795872719242,75.665663640126,20
R_7_30,3709698.092332899,74.29164495440214,76.13096157275868,99
R_7_31,2478108.5968128336,74.1348665975888,77.7143204696934,38
R_10_29,4667615.238506747,73.87125953354182,78.61312556615191,218
R_10_9,4432656.247566834,73.38111888337546,73.38111888337546,1
R_10_10,3916870.2499788003,72.32865839998952,75.03330571951518,100
R_10_26,2177408.8790840344,71.71220210264593,76.55256051367141,107
R_10_6,1031304.0866921821,70.86060086757797,72.0418275925854,15
R_10_30,974805.7889559325,70.64708222423116,74.23039030184127,72
R_9_30,409128.78608444,70.62932844528602,71.90569255314186,9
R_10_32,413112.86617130495,70.44169825917123,70.59218945504396,2
R_9_32,334912.8376280479,70.05703598276908,70.25554825598466,3
R_10_31,463306.2890860739,69.45784471954848,70.68248521046961,33
R_11_29,1649229.3676271893,66.8197323085916,68.84176274562759,25
R_6_22,2912567.6366059273,66.55675827472763,70.36714859054753,9
R_10_28,1447357.4410687974,66.00448057328748,73.76303794318181,68
R_10_5,722547.8129641081,65.5781054183231,71.29518975359942,51
R_9_28,319518.83294286346,65.38190121988868,76.26124219422826,33
R_6_21,1903430.3788853965,65.30993768954862,68.9696042315459,64
R_11_25,587712.7587675195,64.04927386640081,65.57493764999246,5
R_10_25,1133664.7236145043,64.03510731854753,75.45373792523155,15
R_11_10,1435217.488581167,63.427667418238315,68.64018470405435,36
R_7_22,322704.0971773258,63.279498251666936,64.55098453151564,20
R_11_26,614934.3727575064,61.466075154184466,65.24341320554416,31
R_7_23,156989.69070859658,61.42867155717452,62.80597015820237,3
R_7_25,96443.44644471894,61.27878592180264,61.832860254159286,3
R_7_24,104777.85663846497,60.751579328270715,61.06233908950011,2
R_11_11,990154.940620953,59.78256989776659,60.60258573432138,2
R_6_24,83055.83710910729,58.31247651733717,58.31247651733717,1
R_11_30,572932.2852364298,55.69048836046369,64.77208350969802,51
R_11_27,61725.79001018716,54.94005389145077,57.92445927651685,5
R_9_27,158691.26788592085,54.21672307514177,75.00482638862469,9
R_12_11,411824.04752499476,53.64630620513854,56.70837521029134,16
R_14_13,379305.59939656605,52.507453513455694,53.651794609861064,7
R_14_14,353855.0890242762,52.23386978825467,53.502547520293774,6
R_14_15,298455.58186352503,51.82479497502551,52.68554419981703,8
R_14_12,272698.3816980699,51.612891567179055,51.612891567179055,1
R_10_27,302306.5500147657,51.11906605473436,66.22919138768528,20
R_13_12,260962.06744087048,50.9874067641104,53.68745881177328,12
R_13_13,191411.40483155902,50.30198672246079,51.432504099613574,3
R_9_29,1159257.023928189,47.060183205862494,73.65624940162667,3
R_10_4,47525.62610543432,42.04924464367018,64.10214527289203,10
R_11_31,94984.97248711216,38.01106261272292,57.67932058141627,6
R_9_25,0.0,0.0,0.0,1
